City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,sydney mines,46.2367,-60.2177,297.65,72,75,5.14,CA,1722026823
127,klyuchi,52.2667,79.1667,296.57,64,99,2.14,RU,1722026825
128,happy valley-goose bay,53.3168,-60.3315,290.32,51,20,2.57,CA,1722026827
129,mawu,34.4307,104.9176,287.54,82,100,0.33,CN,1722026828
130,martapura,-3.4167,114.85,299.2,94,75,0.51,ID,1722026830
131,pacific grove,36.6177,-121.9166,299.38,81,0,5.14,US,1722026649
132,puerto santa,-8.9906,-78.6456,291.5,76,26,5.34,PE,1722026833
133,corinto,37.9407,22.9573,301.42,64,0,1.39,GR,1722026835
134,rabo de peixe,37.8,-25.5833,296.88,88,40,3.6,PT,1722026836
135,champua,22.0833,85.6667,298.93,92,100,4.28,IN,1722026838
136,okhotsk,59.3833,143.3,286.46,95,100,0.57,RU,1722026840
137,kattivakkam,13.2167,80.3167,303.79,73,100,6.88,IN,1722026841
138,tura,25.5198,90.2201,298.8,95,100,3.06,IN,1722026843
139,strathfieldsaye,-36.8,144.3667,278.85,60,60,1.97,AU,1722026844
140,iskateley,67.6803,53.1512,280.41,81,100,3.24,RU,1722026846
141,vilyuchinsk,52.9306,158.4028,285.3,85,75,0.83,RU,1722026848
142,beyneu,45.3167,55.2,300.0,30,19,2.8,KZ,1722026849
143,bode saadu,8.9333,4.7833,297.26,90,36,2.18,NG,1722026851
144,vorgashor,67.5833,63.95,281.55,91,100,1.95,RU,1722026852
145,st. john's,47.5649,-52.7093,291.57,92,75,4.12,CA,1722026854
146,alotau,-10.3069,150.4462,295.28,89,100,1.56,PG,1722026856
147,queenstown,-31.8976,26.8753,278.8,61,0,1.36,ZA,1722026857
148,ketchikan,55.3422,-131.6461,290.01,72,100,4.12,US,1722026805
149,myaydo,19.3667,95.2167,297.73,98,100,4.03,MM,1722026860
150,whitefish,48.4111,-114.3376,298.43,28,0,6.69,US,1722026864
151,geraldton,-28.7667,114.6,282.38,93,0,3.09,AU,1722026865
152,cabo san lucas,22.8909,-109.9124,309.05,58,40,6.92,MX,1722026867
153,urumqi,43.801,87.6005,299.68,30,0,1.0,CN,1722026869
154,hithadhoo,-0.6,73.0833,302.09,71,90,3.9,MV,1722026870
155,uturoa,-16.7333,-151.4333,298.47,66,21,6.59,PF,1722026872
156,catbalogan,11.85,124.9167,297.06,92,92,1.2,PH,1722026874
157,port moresby,-9.4431,147.1797,297.83,83,40,5.14,PG,1722026875
158,port douglas,-16.4833,145.4667,294.29,82,51,3.05,AU,1722026877
159,khunti,23.0833,85.2833,298.21,92,92,6.25,IN,1722026879
160,itoman,26.1247,127.6694,302.26,87,75,7.72,JP,1722026684
161,daru,-9.0763,143.2092,297.59,88,100,6.87,PG,1722026882
162,east london,-33.0153,27.9116,288.65,75,24,2.85,ZA,1722026883
163,umm kaddadah,13.6017,26.6876,304.72,43,100,5.22,SD,1722026885
164,igarka,67.4667,86.5833,286.84,95,98,3.42,RU,1722026887
165,goz beida,13.95,20.55,299.62,76,95,3.46,TD,1722026888
166,escarcega,18.6089,-90.7454,308.09,43,68,1.79,MX,1722026658
167,swakopmund,-22.6833,14.5333,284.81,82,0,0.45,NA,1722026891
168,pyin oo lwin,22.0333,96.4667,292.85,94,87,0.74,MM,1722026893
169,coquimbo,-29.9533,-71.3436,289.0,59,0,5.14,CL,1722026895
170,wagar,16.1525,36.2032,298.54,77,100,3.24,SD,1722026896
171,nova olinda do norte,-3.8881,-59.0942,303.18,59,89,0.74,BR,1722026898
172,shimoda,34.6667,138.95,300.43,94,100,4.43,JP,1722026711
173,caleta olivia,-46.4393,-67.5281,283.98,44,98,13.02,AR,1722026901
174,west island,-12.1568,96.8225,299.14,89,75,3.09,CC,1722026903
175,carnarvon,-24.8667,113.6333,288.56,57,0,5.15,AU,1722026904
176,torghay,49.6339,63.4981,291.93,53,2,3.57,KZ,1722026906
177,yamada,39.4667,141.95,293.38,100,100,1.66,JP,1722026908
178,puerto natales,-51.7236,-72.4875,276.4,75,75,4.63,CL,1722026909
179,kertih,4.5141,103.4483,300.16,94,100,0.0,MY,1722026911
180,alto araguaia,-17.3147,-53.2153,299.48,20,3,1.73,BR,1722026913
181,sanya,18.2431,109.505,301.24,89,20,1.0,CN,1722026914
182,at taj,24.2049,23.2857,304.76,20,14,4.47,LY,1722026916
183,vadso,70.0744,29.7487,292.64,82,0,3.6,NO,1722026917
184,cidade velha,14.9167,-23.6167,300.41,74,20,2.57,CV,1722026919
185,duayaw-nkwanta,7.1724,-2.1028,295.91,92,67,1.44,GH,1722026921
186,castillos,-34.1667,-53.8333,282.33,86,0,1.9,UY,1722026922
187,homer,59.6425,-151.5483,287.08,89,100,4.63,US,1722026924
188,shilovo,54.3204,40.874,289.74,63,76,1.07,RU,1722026926
189,luena,-11.7833,19.9167,286.96,18,0,1.27,AO,1722026927
190,grasse,43.6667,6.9167,296.96,74,0,1.03,FR,1722026772
191,douglas,41.3,-96.167,306.9,56,0,4.63,US,1722026930
192,camocim,-2.9022,-40.8411,300.08,70,57,9.44,BR,1722026932
193,cidreira,-30.1811,-50.2056,289.48,86,70,3.48,BR,1722026934
194,namibe,-15.1961,12.1522,289.47,83,49,1.25,AO,1722026935
195,aasiaat,68.7098,-52.8699,275.83,95,100,4.98,GL,1722026939
196,ancud,-41.8697,-73.8203,281.78,83,73,9.68,CL,1722026940
197,fraga,41.5229,0.3489,301.61,55,2,5.86,ES,1722026942
198,crane,31.3974,-102.3501,307.58,21,0,4.69,US,1722026944
199,pizarro,4.9533,-77.366,300.62,79,86,3.45,CO,1722026945
200,vanino,49.0869,140.2543,289.97,88,24,0.59,RU,1722026947
201,jamestown,42.097,-79.2353,297.92,46,0,1.54,US,1722026948
202,san luis de la loma,17.2706,-100.8939,304.81,62,90,4.16,MX,1722026950
203,badger,64.8,-147.5333,293.29,78,75,5.14,US,1722026953
204,sarmiento,-45.5882,-69.07,281.32,54,68,11.23,AR,1722026955
205,hargeysa,9.56,44.065,295.56,65,86,9.34,SO,1722026957
